state_fips,county_fips,state,county,TOT_POP,MALE_PERC,FEMALE_PERC,WHITE_POP_PERC,BLACK_POP_PERC,ASIAN_POP_PERC,HISP_POP_PERC,AGE_OTO4,AGE_5TO14,AGE_15TO24,AGE_25TO34,AGE_35TO44,AGE_45TO54,AGE_55TO64,AGE_65TO74,AGE_75TO84,AGE_84PLUS
1,1,Alabama,Autauga County,55601,0.48551285048830056,0.5144871495116994,0.7837988525386234,0.20616535673818817,0.01730184708908113,0.029657739968705597,3364,7305,6928,7166,7244,7777,7164,4900,2882,871
1,3,Alabama,Baldwin County,218022,0.4846162313894928,0.5153837686105072,0.8895982974195265,0.096884718055976,0.015613103264808139,0.04646778765445689,11955,26783,24040,24528,26033,28703,31409,26738,13529,4304
1,5,Alabama,Barbour County,24881,0.5278324826172581,0.4721675173827419,0.5003416261404284,0.49290623367228004,0.006068887906434629,0.04276355451951288,1284,2957,2923,3466,2981,3227,3211,2877,1483,472
1,7,Alabama,Bibb County,22400,0.5321875,0.4678125,0.778125,0.21901785714285715,0.003794642857142857,0.02625,1285,2497,2573,3327,2952,3179,2897,2174,1153,363
1,9,Alabama,Blount County,57840,0.4927385892116183,0.5072614107883817,0.9718360995850622,0.02162863070539419,0.005411479944674965,0.09571230982019364,3460,7537,6846,6934,7067,7818,7630,6243,3273,1032
1,11,Alabama,Bullock County,10138,0.5451765634247386,0.4548234365752614,0.2735253501676859,0.7140461629512724,0.004044190175577037,0.0796014993095285,600,1199,1155,1526,1309,1258,1430,948,529,184
1,13,Alabama,Butler County,19680,0.4657012195121951,0.5342987804878049,0.5325711382113821,0.4555386178861789,0.014939024390243902,0.015091463414634146,1119,2520,2263,2279,2390,2313,2801,2200,1210,585
1,15,Alabama,Calhoun County,114277,0.48053414072823053,0.5194658592717695,0.7708637783631002,0.2222844491892507,0.014106075588263605,0.03910673188830648,6580,13707,14777,15059,13646,14303,15958,12076,6060,2111
1,17,Alabama,Chambers County,33615,0.47874460806187713,0.5212553919381229,0.5822698200208241,0.40788338539342556,0.014755317566562547,0.025613565372601517,1929,3866,3893,4231,3775,4409,4950,3840,1973,749
1,19,Alabama,Cherokee County,26032,0.4953902888752305,0.5046097111247695,0.9461047940995697,0.04963122311001844,0.005262753534111863,0.01621081745543946,1206,2830,2803,2754,2769,3590,4100,3545,1899,536
1,21,Alabama,Chilton County,44153,0.4907480805381288,0.5092519194618712,0.8830883518673703,0.11097773650714561,0.006885149366973931,0.0792698117908183,2730,5893,5396,5571,5455,5813,5884,4461,2181,769
1,23,Alabama,Choctaw County,12841,0.4727046180204034,0.5272953819795966,0.5784596215248033,0.42091737403629,0.0030371466396698077,0.010435324351686006,673,1391,1443,1304,1382,1683,2012,1668,932,353
1,25,Alabama,Clarke County,23920,0.4735785953177257,0.5264214046822743,0.5430602006688964,0.45163043478260867,0.006061872909698997,0.01362876254180602,1386,2789,3007,2628,2788,3120,3449,2597,1564,592
1,27,Alabama,Clay County,13275,0.48903954802259886,0.5109604519774011,0.8503954802259887,0.15216572504708098,0.004293785310734463,0.030131826741996232,687,1502,1575,1446,1506,1849,1959,1525,914,312
1,29,Alabama,Cleburne County,14987,0.49516247414425835,0.5048375258557416,0.9619670380996864,0.03609795155801695,0.0038032961900313607,0.024821511977046774,894,1922,1662,1750,1752,2076,2016,1692,884,339
1,31,Alabama,Coffee County,51909,0.49164884702074785,0.5083511529792522,0.7855863145119344,0.19000558669980158,0.02438883430618968,0.07580573696276176,3211,6892,6315,6597,6660,6925,6508,5178,2653,970
1,33,Alabama,Colbert County,54762,0.4795113399802783,0.5204886600197217,0.8235820459442679,0.17196230963076586,0.007925203608341551,0.026752127387604543,3108,6339,6232,6937,6321,7166,7745,6135,3493,1286
1,35,Alabama,Conecuh County,12277,0.47902582064022153,0.5209741793597784,0.5286307729901442,0.46957725828785535,0.003909749938910157,0.021503624664005863,652,1441,1395,1357,1265,1488,1917,1553,884,325
1,37,Alabama,Coosa County,10715,0.5038730751283248,0.4961269248716752,0.6810079328044797,0.3144190387307513,0.0031731217918805413,0.025198320111992533,488,959,1061,1100,1134,1564,1928,1447,764,270
1,39,Alabama,Covington County,36986,0.4838587573676526,0.5161412426323474,0.861731465960093,0.13515924944573623,0.006137457416319689,0.01749310549937814,2203,4528,3966,4342,4029,4629,5499,4326,2485,979
1,41,Alabama,Crenshaw County,13824,0.4827835648148148,0.5172164351851852,0.7464554398148148,0.24660011574074073,0.013237847222222222,0.023148148148148147,798,1798,1607,1641,1585,1767,1999,1605,721,303
1,43,Alabama,Cullman County,83442,0.4942954387478728,0.5057045612521273,0.9718007717935812,0.018048464801898326,0.008520888761055584,0.044330193427770184,5162,10334,9635,10770,10023,10700,11372,9077,4919,1450
1,45,Alabama,Dale County,48956,0.49070594002778006,0.50929405997222,0.7630729634774083,0.22375194051801617,0.02112100661818776,0.06638614265871395,3268,6102,6123,7197,5673,5903,6420,4778,2594,898
1,47,Alabama,Dallas County,38310,0.46162881754111196,0.538371182458888,0.2853824066823284,0.7100495954058993,0.007047768206734534,0.011119812059514487,2335,5135,5011,4483,4246,4522,5657,4138,2082,701
1,49,Alabama,DeKalb County,71385,0.4962947397912727,0.5037052602087273,0.9482244168943055,0.024206766127337676,0.006808152973313722,0.14842053652728165,4237,9905,8854,8505,8761,9481,9320,7375,3740,1207
1,51,Alabama,Elmore County,81887,0.48341006508969675,0.5165899349103033,0.7704519642922564,0.222941370425098,0.011149510911377874,0.030126882166888518,4713,10186,10149,11567,10831,11272,10769,7545,3691,1164
1,53,Alabama,Escambia County,36748,0.5069119407858931,0.49308805921410687,0.638919124850332,0.3270654185261783,0.005551322520953522,0.024681615326004137,2187,4623,4219,4972,4574,4776,4801,3786,2127,683
1,55,Alabama,Etowah County,102501,0.48441478619720785,0.5155852138027922,0.8245090291802031,0.16596911249646346,0.010390142535194779,0.040155705797992214,5902,12056,12441,12419,12287,13874,14035,11631,5873,1983
1,57,Alabama,Fayette County,16433,0.4882249132842451,0.5117750867157549,0.8702002069007485,0.12906955516339075,0.005598490841599221,0.018073388912554007,921,1959,1892,1886,1812,2127,2364,1987,1145,340
1,59,Alabama,Franklin County,31363,0.5045116857443485,0.49548831425565154,0.9321174632528776,0.053151803080062496,0.004910244555686637,0.17750215221758123,2084,4285,3855,3887,3878,4155,3923,3005,1726,565
1,61,Alabama,Geneva County,26314,0.4881811963213499,0.5118188036786502,0.8896024929695219,0.10374705479972639,0.005700387626358592,0.04043474956297028,1422,3260,2957,2974,3027,3558,3775,3096,1667,578
1,63,Alabama,Greene County,8233,0.4721243775051622,0.5278756224948379,0.1919106036681647,0.805660148184137,0.0036438722215474313,0.01664034981173327,475,1033,948,952,829,895,1264,1072,524,241
1,65,Alabama,Hale County,14726,0.47589297840554123,0.5241070215944588,0.4124677441260356,0.5844764362352302,0.004006519081895967,0.013581420616596496,979,1865,1843,1734,1635,1722,2119,1638,841,350
